,portion_size,calories,price,profile_id,respondent_id,question_id,alternative_id,observation_id,company_Shake Shack,company_Wendy’s,type_bundle_premium,type_burger_bacon,type_burger_classic,type_burger_premium,no_choice,choice
0,240,650,29.1,6632,1,1,1,1,1,0,0,0,0,0,0,1.0
1,350,500,28.1,12655,1,1,3,1,0,0,1,0,0,0,0,0.0
2,0,0,0.0,0,1,1,4,1,0,0,0,0,0,0,1,0.0
3,240,400,28.1,7759,1,1,2,1,1,0,1,0,0,0,0,0.0
4,220,450,21.99,1456,1,2,1,2,0,1,0,0,0,1,0,0.0
5,260,500,22.99,10937,1,2,2,2,0,0,0,0,0,0,0,0.0
6,280,450,20.0,8280,1,2,3,2,1,0,1,0,0,0,0,0.0
7,0,0,0.0,0,1,2,4,2,0,0,0,0,0,0,1,1.0
8,0,0,0.0,0,1,3,4,3,0,0,0,0,0,0,1,0.0
9,200,700,27.7,6282,1,3,1,3,1,0,0,0,0,0,0,1.0
10,220,500,21.99,6457,1,3,3,3,1,0,0,0,0,0,0,0.0
11,260,950,22.99,6782,1,3,2,3,1,0,0,0,0,0,0,0.0
12,0,0,0.0,0,1,4,4,4,0,0,0,0,0,0,1,1.0
13,200,500,22.99,7418,1,4,1,4,1,0,1,0,0,0,0,0.0
14,220,700,22.99,3362,1,4,2,4,0,1,1,0,0,0,0,0.0
15,240,500,20.0,7776,1,4,3,4,1,0,1,0,0,0,0,0.0
16,0,0,0.0,0,1,5,4,5,0,0,0,0,0,0,1,0.0
17,220,400,32.99,5684,1,5,2,5,1,0,0,0,0,1,0,0.0
18,180,500,21.99,11572,1,5,1,5,0,0,1,0,0,0,0,0.0
19,280,950,21.99,2908,1,5,3,5,0,1,0,0,0,0,0,1.0
20,220,500,31.5,9943,1,6,1,6,0,0,0,0,0,1,0,0.0
21,220,500,22.99,1322,1,6,2,6,0,1,0,0,0,1,0,0.0
22,380,450,30.99,5982,1,6,3,6,1,0,0,0,0,1,0,0.0
23,0,0,0.0,0,1,6,4,6,0,0,0,0,0,0,1,1.0
24,240,750,40.2,10895,2,1,2,7,0,0,0,0,0,0,0,1.0
25,0,0,0.0,0,2,1,4,7,0,0,0,0,0,0,1,0.0
26,200,920,40.0,4954,2,1,1,7,1,0,0,1,0,0,0,0.0
27,200,500,20.0,11655,2,1,3,7,0,0,1,0,0,0,0,0.0
28,0,0,0.0,0,2,2,4,8,0,0,0,0,0,0,1,1.0
29,260,920,28.1,4381,2,2,3,8,1,0,0,0,1,0,0,0.0
30,240,920,28.1,64,2,2,2,8,0,1,0,0,1,0,0,0.0
31,220,450,21.99,7528,2,2,1,8,1,0,1,0,0,0,0,0.0
32,0,0,0.0,0,2,3,4,9,0,0,0,0,0,0,1,0.0
33,280,650,27.7,7110,2,3,2,9,1,0,0,0,0,0,0,0.0
34,240,880,30.99,4455,2,3,1,9,1,0,0,0,1,0,0,1.0
35,220,500,21.99,5560,2,3,3,9,1,0,0,0,0,1,0,0.0
36,380,950,21.99,10297,2,4,2,10,0,0,0,0,0,1,0,1.0
37,180,950,28.1,6187,2,4,3,10,1,0,0,0,0,0,0,0.0
38,0,0,0.0,0,2,4,4,10,0,0,0,0,0,0,1,0.0
39,220,400,22.99,1265,2,4,1,10,0,1,0,0,0,1,0,0.0
40,240,880,30.99,4437,2,5,1,11,1,0,0,0,1,0,0,0.0
41,180,400,38.99,9453,2,5,2,11,0,0,0,0,0,1,0,0.0
42,280,880,40.0,790,2,5,3,11,0,1,0,1,0,0,0,1.0
43,0,0,0.0,0,2,5,4,11,0,0,0,0,0,0,1,0.0
44,0,0,0.0,0,2,6,4,12,0,0,0,0,0,0,1,0.0
45,260,650,28.1,3715,2,6,1,12,0,1,1,0,0,0,0,0.0
46,280,830,21.99,12577,2,6,2,12,0,0,1,0,0,0,0,0.0
47,180,500,20.0,1863,2,6,3,12,0,1,0,0,0,0,0,1.0
48,0,0,0.0,0,3,1,4,13,0,0,0,0,0,0,1,0.0
49,200,950,31.5,4960,3,1,1,13,1,0,0,1,0,0,0,1.0
50,180,500,38.99,1005,3,1,2,13,0,1,0,0,0,1,0,0.0
51,260,650,22.99,2510,3,1,3,13,0,1,0,0,0,0,0,0.0
52,200,750,22.99,2057,3,2,1,14,0,1,0,0,0,0,0,1.0
53,0,0,0.0,0,3,2,4,14,0,0,0,0,0,0,1,0.0
54,180,400,20.0,1011,3,2,3,14,0,1,0,0,0,1,0,0.0
55,380,920,30.99,10266,3,2,2,14,0,0,0,0,0,1,0,0.0
56,220,400,28.1,6475,3,3,2,15,1,0,0,0,0,0,0,0.0
57,0,0,0.0,0,3,3,4,15,0,0,0,0,0,0,1,1.0
58,350,650,40.2,8885,3,3,3,15,0,0,0,0,1,0,0,0.0
59,240,880,28.1,8689,3,3,1,15,0,0,0,0,1,0,0,0.0
60,240,450,40.0,11086,3,4,1,16,0,0,0,0,0,0,0,0.0
61,350,750,31.5,12694,3,4,3,16,0,0,1,0,0,0,0,1.0
62,240,750,27.7,7854,3,4,2,16,1,0,1,0,0,0,0,0.0
63,0,0,0.0,0,3,4,4,16,0,0,0,0,0,0,1,0.0
64,0,0,0.0,0,3,5,4,17,0,0,0,0,0,0,1,0.0
65,240,700,22.99,11117,3,5,3,17,0,0,0,0,0,0,0,1.0
66,200,400,22.99,6230,3,5,2,17,1,0,0,0,0,0,0,0.0
67,200,700,29.1,11720,3,5,1,17,0,0,1,0,0,0,0,0.0
68,0,0,0.0,0,3,6,4,18,0,0,0,0,0,0,1,0.0
69,350,400,20.0,12624,3,6,2,18,0,0,1,0,0,0,0,0.0
70,180,400,21.99,10312,3,6,3,18,0,0,0,0,0,0,0,0.0
71,220,400,38.99,6357,3,6,1,18,1,0,0,0,0,0,0,1.0
72,220,500,21.99,11809,4,1,2,19,0,0,1,0,0,0,0,0.0
73,200,500,28.1,10495,4,1,1,19,0,0,0,0,0,0,0,0.0
74,0,0,0.0,0,4,1,4,19,0,0,0,0,0,0,1,1.0
75,220,830,21.99,7624,4,1,3,19,1,0,1,0,0,0,0,0.0
76,0,0,0.0,0,4,2,4,20,0,0,0,0,0,0,1,1.0
77,260,750,28.1,7975,4,2,2,20,1,0,1,0,0,0,0,0.0
78,220,750,40.2,2183,4,2,1,20,0,1,0,0,0,0,0,0.0
79,260,650,38.99,6993,4,2,3,20,1,0,0,0,0,0,0,0.0
80,220,450,20.0,10683,4,3,3,21,0,0,0,0,0,0,0,1.0
81,380,750,32.99,509,4,3,1,21,0,1,0,0,1,0,0,0.0
82,220,500,40.2,10619,4,3,2,21,0,0,0,0,0,0,0,0.0
83,0,0,0.0,0,4,3,4,21,0,0,0,0,0,0,1,0.0
84,240,650,28.1,2395,4,4,1,22,0,1,0,0,0,0,0,0.0
85,220,500,21.99,5701,4,4,2,22,1,0,0,0,0,1,0,0.0
86,180,700,31.5,4816,4,4,3,22,1,0,0,1,0,0,0,1.0
87,0,0,0.0,0,4,4,4,22,0,0,0,0,0,0,1,0.0
88,350,830,32.99,5078,4,5,3,23,1,0,0,1,0,0,0,0.0
89,0,0,0.0,0,4,5,4,23,0,0,0,0,0,0,1,1.0
90,380,920,20.0,10263,4,5,2,23,0,0,0,0,0,1,0,0.0
91,260,750,32.99,8576,4,5,1,23,0,0,0,0,1,0,0,0.0
92,240,450,20.0,12276,4,6,1,24,0,0,1,0,0,0,0,1.0
93,240,450,21.99,2572,4,6,2,24,0,1,0,0,0,0,0,0.0
94,180,450,30.99,11565,4,6,3,24,0,0,1,0,0,0,0,0.0
95,0,0,0.0,0,4,6,4,24,0,0,0,0,0,0,1,0.0
96,0,0,0.0,0,5,1,4,25,0,0,0,0,0,0,1,0.0
97,380,650,40.0,11470,5,1,3,25,0,0,0,0,0,0,0,1.0
98,350,450,40.2,1607,5,1,1,25,0,1,0,0,0,1,0,0.0
99,260,880,31.5,283,5,1,2,25,0,1,0,0,1,0,0,0.0
100,0,0,0.0,0,5,2,4,26,0,0,0,0,0,0,1,0.0
101,280,500,20.0,7059,5,2,1,26,1,0,0,0,0,0,0,0.0
102,180,450,22.99,10325,5,2,2,26,0,0,0,0,0,0,0,0.0
103,380,920,29.1,551,5,2,3,26,0,1,0,0,1,0,0,1.0
104,240,750,20.0,8091,5,3,2,27,1,0,1,0,0,0,0,1.0
105,350,500,22.99,10049,5,3,1,27,0,0,0,0,0,1,0,0.0
106,380,500,22.99,2981,5,3,3,27,0,1,0,0,0,0,0,0.0
107,0,0,0.0,0,5,3,4,27,0,0,0,0,0,0,1,0.0
108,260,400,20.0,2712,5,4,1,28,0,1,0,0,0,0,0,0.0
109,220,450,31.5,9751,5,4,2,28,0,0,0,0,0,1,0,1.0
110,200,750,20.0,6291,5,4,3,28,1,0,0,0,0,0,0,0.0
111,0,0,0.0,0,5,4,4,28,0,0,0,0,0,0,1,0.0
112,260,400,20.0,6672,5,5,1,29,1,0,0,0,0,0,0,0.0
113,260,650,20.0,10980,5,5,2,29,0,0,0,0,0,0,0,1.0
114,280,400,30.99,4005,5,5,3,29,0,1,1,0,0,0,0,0.0
115,0,0,0.0,0,5,5,4,29,0,0,0,0,0,0,1,0.0
116,0,0,0.0,0,5,6,4,30,0,0,0,0,0,0,1,0.0
117,240,500,38.99,10857,5,6,1,30,0,0,0,0,0,0,0,1.0
118,380,450,22.99,7202,5,6,2,30,1,0,0,0,0,0,0,0.0
119,380,400,21.99,5965,5,6,3,30,1,0,0,0,0,1,0,0.0
120,380,950,27.7,3030,6,1,1,31,0,1,0,0,0,0,0,0.0
121,180,450,20.0,9492,6,1,2,31,0,0,0,0,0,1,0,0.0
122,180,880,31.5,9559,6,1,3,31,0,0,0,0,0,1,0,1.0
123,0,0,0.0,0,6,1,4,31,0,0,0,0,0,0,1,0.0
124,280,500,28.1,11335,6,2,2,32,0,0,0,0,0,0,0,1.0
125,180,920,31.5,4870,6,2,3,32,1,0,0,1,0,0,0,0.0
126,350,880,28.1,9319,6,2,1,32,0,0,0,1,0,0,0,0.0
127,0,0,0.0,0,6,2,4,32,0,0,0,0,0,0,1,0.0
128,0,0,0.0,0,6,3,4,33,0,0,0,0,0,0,1,1.0
129,180,950,20.0,6180,6,3,2,33,1,0,0,0,0,0,0,0.0
130,380,920,21.99,10261,6,3,1,33,0,0,0,0,0,1,0,0.0
131,240,830,21.99,12337,6,3,3,33,0,0,1,0,0,0,0,0.0
132,220,880,31.5,1351,6,4,2,34,0,1,0,0,0,1,0,0.0
133,180,450,27.7,7326,6,4,1,34,1,0,1,0,0,0,0,0.0
134,180,950,28.1,1951,6,4,3,34,0,1,0,0,0,0,0,0.0
135,0,0,0.0,0,6,4,4,34,0,0,0,0,0,0,1,1.0
136,240,920,30.99,8682,6,5,3,35,0,0,0,0,1,0,0,1.0
137,0,0,0.0,0,6,5,4,35,0,0,0,0,0,0,1,0.0
138,280,650,29.1,4076,6,5,1,35,0,1,1,0,0,0,0,0.0
139,200,880,31.5,9178,6,5,2,35,0,0,0,1,0,0,0,0.0
140,0,0,0.0,0,6,6,4,36,0,0,0,0,0,0,1,1.0
141,350,450,31.5,12610,6,6,2,36,0,0,1,0,0,0,0,0.0
142,220,650,29.1,6392,6,6,3,36,1,0,0,0,0,0,0,0.0
143,240,700,40.0,6886,6,6,1,36,1,0,0,0,0,0,0,0.0
144,180,400,29.1,6116,7,1,3,37,1,0,0,0,0,0,0,0.0
145,280,950,27.7,8868,7,1,2,37,0,0,0,0,1,0,0,1.0
146,280,700,28.1,334,7,1,1,37,0,1,0,0,1,0,0,0.0
147,0,0,0.0,0,7,1,4,37,0,0,0,0,0,0,1,0.0
148,0,0,0.0,0,7,2,4,38,0,0,0,0,0,0,1,0.0
149,350,920,30.99,10146,7,2,1,38,0,0,0,0,0,1,0,1.0
150,350,880,32.99,851,7,2,2,38,0,1,0,1,0,0,0,0.0
151,200,830,38.99,9669,7,2,3,38,0,0,0,0,0,1,0,0.0
152,0,0,0.0,0,7,3,4,39,0,0,0,0,0,0,1,1.0
153,350,920,40.0,5890,7,3,1,39,1,0,0,0,0,1,0,0.0
154,220,500,29.1,2108,7,3,2,39,0,1,0,0,0,0,0,0.0
155,200,450,28.1,7411,7,3,3,39,1,0,1,0,0,0,0,0.0
156,0,0,0.0,0,7,4,4,40,0,0,0,0,0,0,1,0.0
157,280,920,28.1,5029,7,4,3,40,1,0,0,1,0,0,0,0.0
158,380,700,40.0,3010,7,4,2,40,0,1,0,0,0,0,0,1.0
159,180,830,31.5,7390,7,4,1,40,1,0,1,0,0,0,0,0.0
160,260,450,22.99,10925,7,5,2,41,0,0,0,0,0,0,0,0.0
161,220,450,21.99,7648,7,5,3,41,1,0,1,0,0,0,0,0.0
162,0,0,0.0,0,7,5,4,41,0,0,0,0,0,0,1,1.0
163,260,700,20.0,11235,7,5,1,41,0,0,0,0,0,0,0,0.0
164,0,0,0.0,0,7,6,4,42,0,0,0,0,0,0,1,0.0
165,180,950,21.99,9580,7,6,1,42,0,0,0,0,0,1,0,1.0
166,240,400,20.0,3552,7,6,2,42,0,1,1,0,0,0,0,0.0
167,240,830,28.1,3871,7,6,3,42,0,1,1,0,0,0,0,0.0
168,380,650,27.7,486,8,1,1,43,0,1,0,0,1,0,0,0.0
169,350,880,40.2,4685,8,1,2,43,1,0,0,0,1,0,0,1.0
170,280,750,38.99,2901,8,1,3,43,0,1,0,0,0,0,0,0.0
171,0,0,0.0,0,8,1,4,43,0,0,0,0,0,0,1,0.0
172,200,700,21.99,10516,8,2,3,44,0,0,0,0,0,0,0,0.0
173,200,400,22.99,9629,8,2,1,44,0,0,0,0,0,1,0,0.0
174,0,0,0.0,0,8,2,4,44,0,0,0,0,0,0,1,1.0
175,240,700,20.0,2640,8,2,2,44,0,1,0,0,0,0,0,0.0
176,350,880,38.99,4683,8,3,3,45,1,0,0,0,1,0,0,1.0
177,240,950,28.1,4471,8,3,2,45,1,0,0,0,1,0,0,0.0
178,380,650,38.99,5133,8,3,1,45,1,0,0,1,0,0,0,0.0
179,0,0,0.0,0,8,3,4,45,0,0,0,0,0,0,1,0.0
180,0,0,0.0,0,8,4,4,46,0,0,0,0,0,0,1,0.0
181,220,500,20.0,6375,8,4,3,46,1,0,0,0,0,0,0,0.0
182,380,950,32.99,9035,8,4,1,46,0,0,0,0,1,0,0,0.0
183,380,750,27.7,3018,8,4,2,46,0,1,0,0,0,0,0,1.0
184,180,450,27.7,10326,8,5,1,47,0,0,0,0,0,0,0,1.0
185,220,700,27.7,7722,8,5,2,47,1,0,1,0,0,0,0,0.0
186,260,500,22.99,2738,8,5,3,47,0,1,0,0,0,0,0,0.0
187,0,0,0.0,0,8,5,4,47,0,0,0,0,0,0,1,0.0
188,380,950,28.1,9436,8,6,1,48,0,0,0,1,0,0,0,0.0
189,350,400,22.99,1550,8,6,2,48,0,1,0,0,0,1,0,1.0
190,240,650,30.99,12309,8,6,3,48,0,0,1,0,0,0,0,0.0
191,0,0,0.0,0,8,6,4,48,0,0,0,0,0,0,1,0.0
192,350,650,27.7,5046,9,1,1,49,1,0,0,1,0,0,0,0.0
193,220,500,38.99,2229,9,1,2,49,0,1,0,0,0,0,0,0.0
194,260,450,22.99,8162,9,1,3,49,1,0,1,0,0,0,0,0.0
195,0,0,0.0,0,9,1,4,49,0,0,0,0,0,0,1,1.0
196,260,450,30.99,12405,9,2,3,50,0,0,1,0,0,0,0,1.0
197,0,0,0.0,0,9,2,4,50,0,0,0,0,0,0,1,0.0
198,240,750,21.99,7849,9,2,1,50,1,0,1,0,0,0,0,0.0
199,280,400,21.99,7072,9,2,2,50,1,0,0,0,0,0,0,0.0
200,240,650,38.99,8640,9,3,1,51,0,0,0,0,1,0,0,0.0
201,180,400,38.99,5253,9,3,2,51,1,0,0,0,0,1,0,0.0
202,220,400,20.0,3435,9,3,3,51,0,1,1,0,0,0,0,0.0
203,0,0,0.0,0,9,3,4,51,0,0,0,0,0,0,1,1.0
204,180,500,20.0,5271,9,4,1,52,1,0,0,0,0,1,0,0.0
